idx_cronologico,es_dev,T_media_R,beta_G_filt,beta_C_filt,beta_G_smooth,beta_C_smooth,sd_G_smooth,sd_C_smooth,beta_G_smooth_lo,beta_G_smooth_hi,beta_C_smooth_lo,beta_C_smooth_hi
AP0056,True,1081.2574235769737,0.2375235562823475,1.264083684500548,-1.4872532513495589,0.9327585483020047,0.784714785413253,0.6980371604305797,-3.0252942307595347,0.05078772806041698,-0.43539428614193154,2.300911382745941
AP0057,True,1150.482678853631,0.29854262899224004,1.2517110874686226,-1.5030112230919208,0.9318655860647852,0.7807590214688176,0.6969757258688165,-3.0332989051708035,0.027276458986961627,-0.43420683663809523,2.2979380087676655
AP0058,True,1078.3873910504196,0.619331024719399,0.7868348863003488,-1.519137607499461,0.9309543391456239,0.7767073809147204,0.6959126711996382,-3.041484074092313,0.00320885909339097,-0.43303449640566694,2.2949431746969147
AP0059,True,1089.9562437634884,0.5903563839675975,0.9032804351435704,-1.5376337606100443,0.9302391769793276,0.7740473324972041,0.6949597047205259,-3.0547665323045643,-0.02050098891552432,-0.4318818442729032,2.2923601982315582
AP0060,True,1088.0263932046964,0.012966950640817099,-0.6140032260302644,-1.5559835647595373,0.9293867136987799,0.7711811993710876,0.6940190058493918,-3.067498715526869,-0.04446841399220558,-0.4308905377660279,2.2896639651635877
AP0061,True,1029.4245336606218,-0.3017424989383567,-0.380337680069333,-1.5636993170462157,0.9296457994073277,0.7720902852245684,0.6934526454971947,-3.0769962760863696,-0.05040235800606174,-0.4295213857671738,2.2888129845818295
AP0062,True,1088.122881116619,-0.5748143580718276,-0.7678251721283627,-1.566738546682181,0.9298405173830835,0.7739908664799181,0.6928884263135007,-3.0837606449828208,-0.049716448381541545,-0.4282207981913777,2.2879018329575445
AP0063,True,1138.588564839612,-0.5209604479809418,-0.6705347088497954,-1.5685042443248571,0.9306045982071248,0.7756932910542363,0.6923645492674755,-3.0888630947911606,-0.048145393858553875,-0.42642991835712707,2.287639114771377
AP0064,True,1116.0943954539289,-0.5586439271455388,-0.530892365205739,-1.5708443722036582,0.9311636570434006,0.7772000950930744,0.6918650863554762,-3.094156558586084,-0.04753218582123231,-0.42489191221333267,2.287219226300134
AP0065,True,1208.374953354844,-0.7505071753732933,-0.3422658716095503,-1.573203027316206,0.9317143972285713,0.7785068592938063,0.691396950777838,-3.099076471532066,-0.04732958310034596,-0.4234236262959912,2.2868524207531338
AP0066,True,1211.381084949816,-0.5464793706986745,-0.6962092147755137,-1.5726928134369875,0.9321848674577284,0.779960713048159,0.6909304181093678,-3.101415811011379,-0.04396981586259607,-0.42203875203663244,2.286408486952089
AP0067,True,1200.4664991215127,-0.560654059042435,-0.6833546406591363,-1.5742807272282797,0.9328763868827009,0.7812934890361817,0.6904714307511943,-3.1056159657391955,-0.0429454887173637,-0.42044761738964,2.2862003911550417
AP0068,True,1168.6787357022752,-0.5496313960367144,-0.6906668031412692,-1.5762839786115892,0.9335875859788566,0.782855862998557,0.6900207328353224,-3.110681470088761,-0.04188648713441756,-0.4188530503783753,2.2860282223360886
AP0069,True,1158.1490867165362,-0.472011171927544,-0.7778326679636594,-1.5777848757477124,0.9342792920018688,0.78423484954717,0.6895677288515788,-3.1148851808601656,-0.04068457063525921,-0.4172734565472256,2.285832040550963
AP0070,True,1114.8175235866452,-0.4943162201462602,-0.7724617163409384,-1.5809693226345263,0.9349847331540777,0.7854474745838362,0.6891120875461058,-3.1204463728188454,-0.04149227245020737,-0.41567495843628954,2.285644424744445
AP0071,True,1096.4080929746156,-0.48017081896762065,-1.3215464322382995,-1.5843204901896972,0.9356869456338957,0.7866578512595654,0.6886530179730697,-3.1261698786584455,-0.04247110172094892,-0.41407296959332096,2.2854468608611125
AP0072,True,1160.912169725291,-0.427338716630541,-1.4357138393066666,-1.5838609985146141,0.9372972983452401,0.7877398175709187,0.6882380058900989,-3.1278310409536147,-0.03989095607561355,-0.41164919319935356,2.286243789889834
AP0073,True,1116.9504930509138,-0.45501994097638604,-1.4263843822243019,-1.5834289125475154,0.9390611767416985,0.7886223137565797,0.6878667817940282,-3.129128647510411,-0.037729177584619356,-0.4091577155745967,2.287280069057994
AP0074,True,1094.9182854075375,-0.55348301765262,-1.4235481671173429,-1.5839946246731849,0.9408114084057551,0.7895643977451283,0.6874921731674055,-3.131540844253636,-0.036448405092733394,-0.4066732510023596,2.28829606781387
AP0075,True,1152.4458800855878,-0.48062187091221487,-1.477751936460125,-1.5829180675886283,0.9426072781402288,0.7903848726284334,0.6871154272503224,-3.132072417940358,-0.03376371723689897,-0.404138959270403,2.289353515550861
AP0076,True,1166.9129405548092,-0.5421734506673132,-1.4698493524985181,-1.5822021923989342,0.9444316541615636,0.7912418146824238,0.6867459780952482,-3.133036149176485,-0.03136823562138358,-0.4015904629051228,2.29045377122825
AP0077,True,1143.9134981241018,-0.5699695647299481,-1.5206840001323203,-1.580899866541339,0.9463012684785859,0.7919107522660221,0.6863736463561342,-3.1330449409827423,-0.02875479209993559,-0.39899107837943704,2.291593615336609
AP0078,True,1142.9685580053736,-0.4435015990616558,-1.5485134846863038,-1.57874866999611,0.9481875003151905,0.7923883662986768,0.6859985084241965,-3.1318298679415166,-0.02566747205070352,-0.3963695761962347,2.2927445768266157
AP0079,True,1140.0448774594795,-0.48091529420003726,-1.5187284574727018,-1.5777623985654172,0.9500979820518647,0.79287930184968,0.6856207953023975,-3.13180583019079,-0.023718966940044384,-0.39371877674083433,2.2939147408445635
AP0080,True,1111.833057788484,-0.42085452957707065,-1.5088335461558764,-1.5766438268515093,0.9520683582142444,0.7931790233482996,0.6852530618556704,-3.1312747126141764,-0.02201294108884211,-0.3910276430228694,2.295164359451358
