target,variable,fuente,x,pd,ale
v5_ln_sn_dep,v5_exceso_C_pos,pd,163.154386358452,0.004567056460252579,
v5_ln_sn_dep,v5_exceso_C_pos,pd,195.78526363014242,0.004567056460252579,
v5_ln_sn_dep,v5_exceso_C_pos,pd,228.41614090183282,0.004567056460252579,
v5_ln_sn_dep,v5_exceso_C_pos,pd,261.0470181735232,0.01575132457954087,
v5_ln_sn_dep,v5_exceso_C_pos,pd,293.6778954452136,0.008434158212082654,
v5_ln_sn_dep,v5_exceso_C_pos,pd,326.308772716904,0.008434158212082654,
v5_ln_sn_dep,v5_exceso_C_pos,pd,358.9396499885944,0.0005612138391700624,
v5_ln_sn_dep,v5_exceso_C_pos,pd,391.57052726028485,0.0005612138391700624,
v5_ln_sn_dep,v5_exceso_C_pos,pd,424.20140453197524,0.0005612138391700624,
v5_ln_sn_dep,v5_exceso_C_pos,pd,456.83228180366564,0.006291532470062646,
v5_ln_sn_dep,v5_exceso_C_pos,pd,489.46315907535603,-0.004649023812582344,
v5_ln_sn_dep,v5_exceso_C_pos,pd,522.0940363470464,-0.004649023812582344,
v5_ln_sn_dep,v5_exceso_C_pos,pd,554.7249136187369,-0.010992391846048673,
v5_ln_sn_dep,v5_exceso_C_pos,pd,587.3557908904272,-0.010992391846048673,
v5_ln_sn_dep,v5_exceso_C_pos,pd,619.9866681621177,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,pd,652.617545433808,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,pd,685.2484227054985,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,pd,717.8792999771888,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,pd,750.5101772488792,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,pd,783.1410545205697,-0.010006767776832237,
v5_ln_sn_dep,v5_exceso_C_pos,ale,5.931550634414399,,-0.0016449450916845643
v5_ln_sn_dep,v5_exceso_C_pos,ale,27.505948817869957,,-0.0016449450916845643
v5_ln_sn_dep,v5_exceso_C_pos,ale,59.72317174860121,,-0.0019898389780912467
v5_ln_sn_dep,v5_exceso_C_pos,ale,96.46573339157052,,-0.0001600670590493527
v5_ln_sn_dep,v5_exceso_C_pos,ale,148.1095812545673,,0.003055459019133966
v5_ln_sn_dep,v5_exceso_C_pos,ale,221.13596331490027,,0.009426209496171213
v5_ln_sn_dep,v5_exceso_C_pos,ale,296.9771208973416,,0.011363684764108904
v5_ln_sn_dep,v5_exceso_C_pos,ale,356.6156544058815,,0.0041079982183306225
v5_ln_sn_dep,v5_exceso_C_pos,ale,408.46435762222205,,0.005228867580276405
v5_ln_sn_dep,v5_exceso_C_pos,ale,481.4329654104625,,0.0034798829418724734
v5_ln_sn_dep,v5_exceso_C_pos,ale,580.6757085766538,,-0.004321377838176404
v5_ln_sn_dep,v5_exceso_C_pos,ale,1336.312153554191,,-0.005389513008462098
v5_ln_sn_dep,v5_C_x_avance,pd,48.41762183041804,0.013038767307757392,
v5_ln_sn_dep,v5_C_x_avance,pd,115.82956823684526,0.0009157262284975247,
v5_ln_sn_dep,v5_C_x_avance,pd,183.24151464327247,0.011745978949819987,
v5_ln_sn_dep,v5_C_x_avance,pd,250.65346104969973,0.00018426862014477504,
v5_ln_sn_dep,v5_C_x_avance,pd,318.06540745612693,0.00018426862014477504,
