index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
2,FULL,P3_dosis_sobrante,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.0004428536056984998,-0.002381658894116162,0.0017362120291323706,10.775541433926714,-0.004771987377368028,-0.025663664095028776,0.018708624657997833,False,-1.0,True,-0.007036572044455882,0.0654295122549716
3,FULL,P3_dosis_sobrante,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0015320036955182269,-0.00037992151151517405,0.003233473091688362,9.443953451940853,0.014468171588675503,-0.0035879610701403148,0.03053676936600817,False,0.0,,0.021334157801443262,0.05031889341334199
0,FULL,P4_log_dosis,Sn,v5_ln_sn_dep,v5_ln_dosis_C,0.08197031233821586,0.024699099813560263,0.1371730220189509,0.6924261490501757,0.056758387708790915,0.017102302568909447,0.09498218739015714,True,1.0,True,0.08369353325078271,0.11483840526436742
1,FULL,P4_log_dosis,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.008702724009463588,-0.0020645790529545778,0.020889032548567672,4.953750794405029,0.04311112597536797,-0.010227410123685722,0.10347906158181962,False,1.0,True,0.06356985462325429,0.16766678467577315
2,FULL,P4_log_dosis,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.000621018044600242,-0.002536692268030518,0.0014362044242300109,10.775541433926714,-0.006691805670806055,-0.027334232639284375,0.015475880280879342,False,-1.0,True,-0.009867455419820512,0.06312599342208852
3,FULL,P4_log_dosis,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.000689895746216404,-0.000776067426287202,0.002526112148423752,9.443953451940853,0.00651534331395972,-0.007329144649423875,0.02385648554409622,False,0.0,,0.0096072514442248,0.045985019710905864
0,FULL,P5_minima,Sn,v5_ln_sn_dep,v5_dosis_C_sn,0.08135882619263904,-0.12153679887774096,0.2961912984244548,0.17617565474733138,0.014333444473962516,-0.021411825118180745,0.05218169593039054,False,1.0,True,0.021135494859978718,0.10851791337911465
1,FULL,P5_minima,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.01322886168733432,0.002895336710159995,0.023630097018826214,4.953750794405029,0.06553248409270664,0.01434277652802512,0.11705761187887827,True,1.0,True,0.09663144704813124,0.15145897962943433
2,FULL,P5_minima,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-4.0056184928391296e-05,-0.0018169157628428912,0.0021429623582025943,10.775541433926714,-0.00043162708038091115,-0.019578251084468135,0.023091579682157356,False,-1.0,True,-0.0006364591536521569,0.06291913925382213
0,CURADO,P1_primitivas,Sn,v5_ln_sn_dep,tasa_feed_Carbon_kg_min,0.0012752919694023334,-0.002012050952068227,0.005165603809488063,22.051327448301198,0.028121880809479766,-0.044368394386722645,0.11390842107121335,False,1.0,True,0.04149195676834937,0.23352686930523192
1,CURADO,P1_primitivas,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.014571798357174006,0.004938949370057066,0.025286095618680508,4.995067853360924,0.07278712153957739,0.024670387227749238,0.1263057633618815,True,1.0,True,0.10739253610642856,0.1499562088774231
2,CURADO,P1_primitivas,Sn,v5_ln_sn_dep,tasa_o2_nm3_min,-0.002914210513761753,-0.010744363240242258,0.003273604736592887,8.623796212290197,-0.025131557590394874,-0.0926571990146712,0.02823090012796499,False,0.0,,-0.03707993459350832,0.17836231571479247
3,CURADO,P1_primitivas,Sn,v5_ln_sn_dep,tasa_aire_nm3_min,0.0006505744091332786,-0.0012725171251286313,0.002219798800163157,10.590088556729988,0.006889640605463707,-0.013476069045067662,0.023507865871850806,False,0.0,,0.010165204528389891,0.05456732567399768
0,CURADO,P2_cinetica_v4,Sn,v5_ln_sn_dep,Cx_sn_v4,0.0007119823003759646,0.00014559407307694074,0.001212063586161386,289.1737984453676,0.20588662622558834,0.04210199114279138,0.35049703116760206,True,1.0,True,0.30385451269751446,0.4551399297902674
1,CURADO,P2_cinetica_v4,Sn,v5_ln_sn_dep,tasa_gn_nm3_min,0.005933694598600929,-0.003937824142724201,0.01545281422392733,4.949228389995098,0.029367209764956288,-0.019489191041978726,0.07647950686238121,False,1.0,True,0.0433411308738394,0.14163388108557043
2,CURADO,P2_cinetica_v4,Sn,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.0006530428763334463,-0.0024077226276564326,0.0009986911816870154,11.235309650211446,-0.007337138930471009,-0.027051509273540778,0.011220604671189197,False,-1.0,True,-0.010828400150039226,0.0564832925079733
