variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_0,-0.003403576617906256,0.0027891306180772985,-0.008892539724404763,0.0020853864885922507,0.22331911741170973,1084,298,12,yfe,base,0.5,DEV
gn_1,-0.003160028014089492,0.0016972436374333689,-0.006500175531107965,0.0001801195029289813,0.06361056769543151,1084,298,12,yfe,base,0.5,DEV
gn_2,-0.004099731587918544,0.0017942313628820255,-0.007630749350783686,-0.000568713825053403,0.023020593699416204,1084,298,12,yfe,base,0.5,DEV
gn_3,-0.007491158929601458,0.002653603197560101,-0.012713406305285386,-0.00226891155391753,0.00507880533881466,1084,298,12,yfe,base,0.5,DEV
gn_0,-0.018476795273545205,0.007578901365589115,-0.03362680323376323,-0.003326787313327185,0.017652052186327188,242,63,12,yfe,base,0.5,LB
gn_1,-0.0028675641846188,0.0025105638513063704,-0.007886109815073858,0.0021509814458362574,0.2577631452595664,242,63,12,yfe,base,0.5,LB
gn_2,-0.006183520205931596,0.0019827636113119024,-0.010147008189954329,-0.002220032221908862,0.0027553136425607304,242,63,12,yfe,base,0.5,LB
gn_3,-0.001846422411045684,0.004044615706536035,-0.009931494005757054,0.006238649183665686,0.6496159284948718,242,63,12,yfe,base,0.5,LB
gn_0,-0.0037467000756437677,0.002843744286107953,-0.009343141981086968,0.0018497418297994325,0.18867863880296307,1084,298,12,yfe,base,0.6,DEV
gn_1,-0.003101497322099388,0.0017208362661334615,-0.006488074743719962,0.00028508009952118605,0.07250887223052555,1084,298,12,yfe,base,0.6,DEV
gn_2,-0.004091332381909568,0.0018247970811493162,-0.007682502974766028,-0.0005001617890531074,0.02569449851917553,1084,298,12,yfe,base,0.6,DEV
gn_3,-0.0075171343112917155,0.0026680332080568614,-0.012767779709904274,-0.0022664889126791576,0.005164772623020915,1084,298,12,yfe,base,0.6,DEV
gn_0,-0.01903921508783042,0.007748164317901095,-0.034527574868609065,-0.003550855307051775,0.016811389275864525,242,63,12,yfe,base,0.6,LB
gn_1,-0.002717300018696392,0.002546124590479242,-0.0078069305538826725,0.0023723305164898892,0.2900061595180479,242,63,12,yfe,base,0.6,LB
