Batch,pos,score,modelo,train_end
AP0279,278,-108.26049681762768,acoplado,259
AP0280,279,21.174346171869715,acoplado,259
AP0281,280,-292.9970279998713,v11_gn,279
AP0282,281,91.45500395589731,v11_gn,279
AP0283,282,-138.42959784900808,v11_gn,279
AP0284,283,-775.7369842134138,v11_gn,279
AP0285,284,189.98182703885578,v11_gn,279
AP0286,285,244.34701562032686,v11_gn,279
AP0287,286,386.05347934445126,v11_gn,279
AP0288,287,162.53675927049864,v11_gn,279
AP0289,288,70.14734053578273,v11_gn,279
AP0290,289,138.81899284717403,v11_gn,279
AP0291,290,-28.429914902175042,v11_gn,279
AP0292,291,214.53219179221017,v11_gn,279
AP0293,292,117.80092184914804,v11_gn,279
AP0294,293,249.2993625341753,v11_gn,279
AP0295,294,187.7505977321451,v11_gn,279
AP0296,295,411.31692192735807,v11_gn,279
AP0297,296,-436.9925375976104,v11_gn,279
AP0298,297,18.629634217206892,v11_gn,279
AP0299,298,-506.6519329038829,v11_gn,279
AP0300,299,-404.22465733688506,v11_gn,279
AP0281,280,-502.2936762184735,conjunto,279
AP0282,281,51.47380856683782,conjunto,279
AP0283,282,-285.7448876290889,conjunto,279
AP0284,283,-1082.7778438227306,conjunto,279
AP0285,284,147.79155428017077,conjunto,279
AP0286,285,258.46771683733,conjunto,279
AP0287,286,418.64731990698783,conjunto,279
AP0288,287,143.2448422512876,conjunto,279
AP0289,288,-51.45557563782079,conjunto,279
AP0290,289,118.99236840934152,conjunto,279
AP0291,290,-165.82341030647672,conjunto,279
AP0292,291,200.1567167621233,conjunto,279
AP0293,292,-106.36131039967921,conjunto,279
AP0294,293,24.752321147655778,conjunto,279
AP0295,294,56.488221756349574,conjunto,279
AP0296,295,591.6470271406645,conjunto,279
AP0297,296,-485.36111451426154,conjunto,279
AP0298,297,-106.02486967711536,conjunto,279
AP0299,298,-431.5606608925086,conjunto,279
AP0300,299,-805.3377456486604,conjunto,279
AP0281,280,-570.6023268252327,acoplado,279
AP0282,281,-42.964301273777004,acoplado,279
AP0283,282,-343.0179218388153,acoplado,279
AP0284,283,-1219.1203858083054,acoplado,279
AP0285,284,36.251985020983355,acoplado,279
AP0286,285,204.38046722736118,acoplado,279
AP0287,286,397.730840336042,acoplado,279
AP0288,287,46.32983796477189,acoplado,279
AP0289,288,-98.01011071775362,acoplado,279
AP0290,289,51.96201949541109,acoplado,279
AP0291,290,-221.0007645295821,acoplado,279
AP0292,291,131.77288378170144,acoplado,279
AP0293,292,-197.86276420646885,acoplado,279
AP0294,293,-47.76258560393569,acoplado,279
AP0295,294,-23.52727778316212,acoplado,279
AP0296,295,531.7587768360927,acoplado,279
AP0297,296,-484.71845295606056,acoplado,279
AP0298,297,-163.64525840326462,acoplado,279
AP0299,298,-505.3580769652996,acoplado,279
AP0300,299,-930.5776661805526,acoplado,279
AP0301,300,-44.989920632493664,v11_gn,299
AP0302,301,624.4463814132845,v11_gn,299
AP0303,302,182.04876451356654,v11_gn,299
AP0304,303,-380.14220656243606,v11_gn,299
AP0305,304,732.5977755564056,v11_gn,299
AP0306,305,88.93198886544208,v11_gn,299
AP0307,306,-81.4579543681302,v11_gn,299
AP0308,307,315.61294902433673,v11_gn,299
AP0309,308,137.31339721786827,v11_gn,299
AP0310,309,372.15231067991107,v11_gn,299
AP0311,310,254.23510629740176,v11_gn,299
AP0312,311,528.7958982232803,v11_gn,299
AP0313,312,150.0474599206055,v11_gn,299
AP0314,313,441.52510869585126,v11_gn,299
AP0315,314,-138.74632657522508,v11_gn,299
AP0316,315,84.301155339394,v11_gn,299
