variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,periodo,modelo,q_bh
gn_0,-0.007383018896058661,0.0027602764412333575,-0.012860006201818517,-0.0019060315902988045,0.008751013962224576,364,100,10,m8_ln_feo_ret_dross50,T1,v11_estructura,0.043471544989172106
gn_1,-0.006908333297668646,0.003049797834382238,-0.012959793859561426,-0.0008568727357758646,0.025680695453249316,364,100,10,m8_ln_feo_ret_dross50,T1,v11_estructura,0.07836030543906433
gn_2,-0.002438745401186834,0.002055560197949125,-0.006517422790963819,0.001639931988590151,0.23829824908301683,364,100,10,m8_ln_feo_ret_dross50,T1,v11_estructura,0.374468677130455
gn_3,-0.007349619098687752,0.0037959162172693833,-0.014881540403795452,0.0001823022064199476,0.05569616242576442,364,100,10,m8_ln_feo_ret_dross50,T1,v11_estructura,0.12253155733668172
d_carbon,0.002627777836877793,0.000560926377510791,0.0015147782100289196,0.0037407774637266667,8.945014418772542e-06,364,100,10,m8_ln_feo_ret_dross50,T1,v11_estructura,0.0005903709516389878
gn_0,-0.011469850126946297,0.0042184954344004905,-0.01984026027807366,-0.0030994399758189368,0.007734460105295832,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.04253953057912708
gn_1,-0.009394762280320776,0.003425825756036874,-0.016192343818630495,-0.002597180742011057,0.00724113144192897,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.04253953057912708
gn_2,-0.005784089549750046,0.003462404664703002,-0.012654251578705627,0.001086072479205536,0.09797101701320172,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.18474534636775183
gn_3,-0.01156779181792736,0.0047610415881535395,-0.02101473124434953,-0.0021208523915051906,0.016914014837801267,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.05875394627867808
d_carbon,0.002479719969853196,0.0005698590660029557,0.0013489959510749282,0.0036104439886314637,3.2933352345452075e-05,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.0010868006273999184
d_exceso,-0.0027363997564894492,0.002360839705406586,-0.00742081791993548,0.0019480184069565819,0.2492120772493777,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.3825115604292774
d_aire,0.0009429600548350321,0.0006201133220109089,-0.00028747931060357985,0.002173399420273644,0.1315414110334875,364,100,12,m8_ln_feo_ret_dross50,T1,conjunto,0.24115925356139375
gn_0,-0.01308792778360517,0.004971934477178319,-0.02295332445539934,-0.003222531111810997,0.009837837723685044,364,100,15,m8_ln_feo_ret_dross50,T1,acoplado,0.043471544989172106
gn_1,-0.00946789398311505,0.0035988539263842553,-0.016608800950130023,-0.0023269870161000735,0.009879896588448206,364,100,15,m8_ln_feo_ret_dross50,T1,acoplado,0.043471544989172106
