xcols,controles,paso,start,n,pendiente,t,p_perm
dG+dC+dO2+dAire,sin_idx,20,150,211,0.7341003031510624,2.455996401630728,0.006644518272425249
dG+dC+dO2+dAire,espesor_en_vez_idx,5,100,261,0.8511928416830331,3.256977783558948,0.0033222591362126247
dG+dC+dO2+dAire,espesor_en_vez_idx,5,120,241,0.8455904641700644,3.154271459457914,0.0033222591362126247
dG+dC+dO2+dAire,espesor_en_vez_idx,5,150,211,0.7613111911133242,2.6980292255579257,0.006644518272425249
dG+dC+dO2+dAire,espesor_en_vez_idx,10,100,261,0.7596172709254996,3.1823815853727417,0.0033222591362126247
dG+dC+dO2+dAire,espesor_en_vez_idx,10,120,241,0.7556964717066484,3.0959760825882556,0.0033222591362126247
dG+dC+dO2+dAire,espesor_en_vez_idx,10,150,211,0.7090805020832687,2.8019175788957735,0.0033222591362126247
dG+dC+dO2+dAire,espesor_en_vez_idx,20,100,261,0.6878353040401461,2.8896600202612257,0.006644518272425249
dG+dC+dO2+dAire,espesor_en_vez_idx,20,120,241,0.70997168026823,2.9605939242677826,0.006644518272425249
dG+dC+dO2+dAire,espesor_en_vez_idx,20,150,211,0.7732762489352424,2.8672336091934376,0.0033222591362126247
