target,kpi,muestra,n,rho,p_rho,r,p_r,ci_low,ci_high,signo_esperado,signo_ok,p_bh,significativo_bh
b6_sdi_multi_batch,sn_perdido_escoria_frac,dev,299,0.07076521278915872,0.22244608927460038,0.0753380691846562,0.19390710727917582,-0.035875325925806,0.17540883467264798,-1,False,0.27361268000117106,False
b6_sdi_multi_batch,sn_perdido_escoria_frac,lockbox,63,0.05539554531490015,0.6663119422787693,0.031574327413858905,0.8059484175549357,-0.16353450589279545,0.2717178348234881,-1,False,,
b6_sdi_multi_batch,sn_perdido_escoria_frac,total,362,0.07233184633441755,0.16967560284781086,0.06420021405445048,0.2230244575857853,-0.021878833714668176,0.1669282661735197,-1,False,,
b6_sdi_multi_batch,rendimiento_proxy_batch,dev,299,0.23414003461605407,4.338397462639007e-05,0.2391906292392527,2.9215825014035093e-05,0.13349919370262833,0.34528254186136087,1,True,8.676794925278014e-05,True
b6_sdi_multi_batch,rendimiento_proxy_batch,lockbox,63,-0.053043394777265745,0.6796953500202638,-0.049893747394690775,0.6977710331489989,-0.2734888288645469,0.168101541127692,1,False,,
b6_sdi_multi_batch,rendimiento_proxy_batch,total,362,0.18955004435794987,0.00028684855289354185,0.2015438937151316,0.00011289385172548168,0.09407382649714675,0.28472541235363513,1,True,,
b6_sdi_multi_batch,recuperacion_real_pct,dev,299,0.12622583491070494,0.029091682891938163,0.1146137408176711,0.04769395780166379,0.019203291243125458,0.23316370788299284,1,True,0.048486138153230274,True
b6_sdi_multi_batch,recuperacion_real_pct,lockbox,63,0.1876920122887865,0.14073664962082022,0.17434825917980787,0.1717419909770603,-0.07094449755869615,0.40478526827733285,1,True,,
b6_sdi_multi_batch,recuperacion_real_pct,total,362,0.131151733727069,0.0125073056777675,0.12033631270151075,0.022023441844640626,0.037653793298478115,0.2281643213288049,1,True,,
b6_feo_extraido_multi_neg,recuperacion_refinada_pct,dev,299,0.13034815496264532,0.024188957230416423,0.133696155505167,0.02074847078250308,0.020720534177717034,0.24070173440149806,1,True,0.030236196538020527,True
b6_feo_extraido_multi_neg,recuperacion_refinada_pct,lockbox,63,-0.232286866359447,0.0669595614275631,-0.25138469933094876,0.046879366172864034,-0.4518121253593137,0.01708094064134402,1,False,,
b6_feo_extraido_multi_neg,recuperacion_refinada_pct,total,362,0.06582884538145449,0.21148110441194784,0.08251453802409768,0.11707029099971193,-0.028355398792010773,0.1747544706889668,1,True,,
b6_feo_extraido_multi_neg,sn_perdido_escoria_frac,dev,299,0.19743801457184187,0.0005956618024210452,0.21743385522708328,0.0001509690490084514,0.07649604585551116,0.3088431188631766,-1,False,0.0011913236048420905,True
b6_feo_extraido_multi_neg,sn_perdido_escoria_frac,lockbox,63,0.30525153609831035,0.014986243052195094,0.4143705432569158,0.0007348110251892435,0.06818669058878764,0.5392652625690301,-1,False,,
b6_feo_extraido_multi_neg,sn_perdido_escoria_frac,total,362,0.21546014073277797,3.5668163950999584e-05,0.24517352178257348,2.348540595887581e-06,0.10009642486723497,0.31351040331464175,-1,False,,
b6_feo_extraido_multi_neg,rendimiento_proxy_batch,dev,299,0.15095510212510502,0.008940471319922328,0.15372900234976228,0.007746218055015807,0.0327913190108359,0.26128779449260087,1,True,0.012772101885603328,True
b6_feo_extraido_multi_neg,rendimiento_proxy_batch,lockbox,63,-0.20646121351766517,0.10449035023555274,-0.19173935086880675,0.13221755471562394,-0.4228978099618818,0.016612741391906313,1,False,,
b6_feo_extraido_multi_neg,rendimiento_proxy_batch,total,362,0.08995276591253241,0.08744816448112686,0.1095597862290218,0.03719805163117381,-0.003431575898045524,0.18805191414200026,1,True,,
b6_feo_extraido_multi_neg,recuperacion_real_pct,dev,299,0.04275684527360191,0.46138080846346724,0.05098547336672335,0.37967246809155436,-0.07137906627079277,0.1486483298095384,1,True,0.46138080846346724,False
b6_feo_extraido_multi_neg,recuperacion_real_pct,lockbox,63,0.027457757296466972,0.8308471424877424,0.0019717965898455175,0.987763120855611,-0.19420896834498347,0.28687205221561957,1,True,,
b6_feo_extraido_multi_neg,recuperacion_real_pct,total,362,0.03467454683538451,0.5107666947532424,0.043024106121425036,0.4144221863266934,-0.061574305386278984,0.13274304687396363,1,True,,
