Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0089,Reducción,3235.6820148428524,2371.450518169603,1.3644315957898643
AP0090,Fusión,6970.044877155434,7652.177483912599,0.9108577123059112
AP0090,Reducción,3043.9542716615497,2557.1375138739804,1.1903756662073515
AP0091,Fusión,7644.136929136915,7507.942705685878,1.0181400190158478
AP0091,Reducción,2440.2463146549203,2484.0322404342683,0.9823730444932981
AP0092,Fusión,8461.000554695589,7197.430541004745,1.175558486669946
AP0092,Reducción,1843.0534250129726,2434.305055170355,0.7571168704178671
AP0093,Fusión,7776.311989442433,7655.830309776213,1.0157372453138582
AP0093,Reducción,2336.7165913398735,2318.310091264764,1.0079396195290975
AP0094,Fusión,6298.8881294808025,8125.500208103482,0.7752000453090855
AP0094,Reducción,3050.1479880258235,2576.310010477887,1.1839211801455691
AP0095,Fusión,7100.4447050632325,7577.2643096417705,0.9370723278094175
AP0095,Reducción,2460.3214770194313,2438.8177416395197,1.0088172785578702
AP0096,Fusión,7326.057486965314,7370.460208261538,0.9939755836078656
AP0096,Reducción,2486.093332157814,2535.3894056932677,0.9805568038484509
AP0097,Fusión,4924.55727378843,7473.257209521264,0.6589572840493599
AP0097,Reducción,3624.9839786053085,2447.9220962097834,1.4808412343750716
