Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0152,1.0,3.5441,0.961649948344854,0.09531543258836653,1,71.15277172170163,0.09815900106246724,0.7115277172170162,0.19031328172051648,False,2.109683175445153
AP0153,0.0,17.0088,0.7653867113301847,0.25412261276019155,1,67.8650647984966,0.1503186217255262,0.678650647984966,0.17103073028950785,False,0.3905943751206142
AP0154,0.0,13.4755,0.7985920883429507,0.3618028625868486,1,64.25260676394039,0.1469630268292861,0.6425260676394039,0.21051090553131005,False,-0.6485137809968539
AP0155,0.0,15.7535,0.7959920133353269,0.114437553131744,1,67.62038048269191,0.17000057581094433,0.6762038048269192,0.15379561936213648,False,1.565007930913634
AP0156,0.0,15.5202,0.7950337273346484,0.2734015478272448,1,68.93970821422688,0.1658897281311395,0.6893970821422688,0.1447131897265917,False,0.23030991214715535
AP0157,0.0,11.981,0.8501109979702691,0.18670244331713665,1,70.87437249317207,0.07972764671832977,0.7087437249317207,0.21152862834994962,False,1.2009767594877774
AP0158,0.0,17.435,0.7671063785954073,0.2666099182866868,1,72.61908325123001,0.13950207164741357,0.7261908325123002,0.13430709584028627,False,1.1608867391989848
AP0159,0.0,11.9854,0.84370540334583,0.1999739152265334,1,79.06775670112962,0.06742519133641707,0.7906775670112963,0.14189724165228654,False,0.8146336550117845
AP0160,0.0,13.3072,0.8238909428360313,0.18105730587965696,1,65.36215586362145,0.14211354708239224,0.6536215586362146,0.20426489428139316,False,0.9118830162412235
AP0161,0.0,15.7259,0.7929000921219637,0.1497378540480405,1,73.58917465220368,0.09803702804957856,0.7358917465220367,0.16607122542838468,False,1.3269904787658304
AP0162,1.0,7.1405,0.9121828205331303,0.1322619938046454,1,82.04861096752636,0.06895839545602223,0.8204861096752636,0.11055549486871422,False,0.8167008288038848
AP0163,0.0,18.9448,0.7178622595757332,0.2581470876883235,1,68.27180915430661,0.07813474167212492,0.6827180915430662,0.239147166784809,False,0.45105369911985216
AP0164,0.0,9.5825,0.876877362206349,0.21297950869128923,1,70.82211568321414,0.12278353036371618,0.7082211568321414,0.16899531280414237,False,-0.7834052735706047
AP0165,0.0,18.0082,0.7561463715091445,0.22936276794659505,1,72.89123557366597,0.1122670661555655,0.7289123557366597,0.15882057810777472,False,0.35830278680512834
AP0166,0.0,20.4573,0.7004480619679008,0.3125023773686295,1,67.7053590858021,0.1151308997495203,0.6770535908580211,0.20781550939245852,False,0.4478068889441517
AP0167,0.0,12.588,0.8333819298727184,0.2691694154575714,1,71.239339811662,0.10800812853233105,0.7123933981166201,0.17959847335104892,False,0.1096653518031449
AP0168,0.0,18.9048,0.7656630638745787,0.381956011874798,1,73.33522315428759,0.10067554188071781,0.7333522315428759,0.16597222657640637,False,-1.0646869126560934
AP0169,0.0,17.2045,0.7589687493551094,0.21240394146422922,1,72.62295031042878,0.042315850408485796,0.7262295031042878,0.23145464648722647,False,0.6691487722832196
AP0170,0.0,14.4412,0.8046361733918457,0.39847959942737854,1,70.43130460975291,0.1424641151483263,0.7043130460975291,0.1532228387541447,False,-1.1803623385529272
AP0171,0.0,29.0781,0.44397384581444566,0.2853171784866204,1,69.97863436383892,0.1355159148425546,0.6997863436383893,0.16469774151905614,False,0.8917106910160149
AP0172,0.0,13.7577,0.825324401299849,0.25713644696955346,1,69.77450250230696,0.07967490955247566,0.6977450250230695,0.22258006542445488,False,0.1686561538580612
AP0173,0.0,20.5151,0.7111561883673198,0.2780628398142223,1,73.88973264520219,0.07225685666923806,0.7388973264520219,0.18884581687874014,False,0.8445945733475007
