Batch,orden_escalon_fase,residuo_ln_masa,R,z_residuo,flag_qc
AP0302,1,-0.11599410217027994,True,-0.16525893556445545,False
AP0302,2,-0.13801049489445383,True,-0.5651345807682919,False
AP0302,3,-0.12165117089793753,True,-0.237678367805116,False
AP0303,0,-0.16840413438163893,True,-1.5965985807872514,False
AP0303,1,-0.16157165083610536,True,-0.9574737208645874,False
AP0303,2,-0.131788727348237,True,-0.4575427208630543,False
AP0303,3,-0.1533023983037598,True,-0.7866733315432616,False
AP0304,0,-0.0854812174371471,True,0.13299129293077674,False
AP0304,1,-0.10860047099197345,True,-0.03674513638107933,False
AP0304,2,-0.10896943518971547,True,-0.06293297904632451,False
AP0304,3,-0.08246759427103179,True,0.4419662460862838,False
AP0305,0,-0.13045803343213258,True,-0.8051262789472016,False
AP0305,1,-0.1588770759588911,True,-0.9106374578290541,False
AP0305,2,-0.1378567362062455,True,-0.5624756605952003,False
AP0305,3,-0.19315177853658305,True,-1.4778664020490222,False
AP0306,0,-0.11986230678389553,True,-0.5841226988664072,False
AP0306,1,-0.08834465489801602,True,0.31533516340883994,False
AP0306,2,-0.10855589737076698,True,-0.05578174706098988,False
AP0306,3,-0.12318781534748346,True,-0.2643316805831762,False
AP0307,0,-0.06899283876174955,True,0.4769026487033402,False
AP0307,1,-0.04561339582789081,True,1.0580766275900066,False
AP0307,2,-0.06643695840404895,True,0.6725731692874786,False
AP0308,0,-0.057050346279172715,True,0.7259968053723023,False
AP0308,1,-0.0706993779092926,True,0.622039883833271,False
AP0308,2,-0.10193804042614296,True,0.058659612563871394,False
AP0309,0,-0.09557564071756985,True,-0.07755620021312497,False
AP0309,1,-0.09156257810468205,True,0.25940222236866667,False
AP0309,2,-0.10111370997154978,True,0.07291460459425339,False
AP0309,3,-0.09080305364463648,True,0.29738653807435655,False
AP0310,0,-0.06441363108810805,True,0.5724148606927465,False
AP0310,1,-0.080757415603955,True,0.44721419868640383,False
AP0310,2,-0.08144044172484222,True,0.41312074462675513,False
AP0310,3,-0.06475160327813434,True,0.749252586297594,False
AP0311,0,-0.15056664898611416,True,-1.2245478226916975,False
AP0311,1,-0.11349025556870096,True,-0.12173785213721804,False
AP0311,2,-0.13721296450869147,True,-0.5513430373045235,False
AP0311,3,-0.13587885028451296,True,-0.48445945558922243,False
AP0312,0,-0.12163182718121313,True,-0.6210310068868151,False
AP0312,1,-0.1374358759405485,True,-0.5379531830855817,False
AP0312,2,-0.11892751799168799,True,-0.23513623829635175,False
AP0312,3,-0.13768030776825135,True,-0.5157059874623858,False
AP0313,0,-0.03090857334749586,True,1.271256757743861,False
AP0313,1,-0.056107000748435,True,0.8756800482981799,False
AP0313,2,-0.057966635320958915,True,0.8190488785997085,False
AP0314,0,-0.13950317568112602,True,-0.9937880749458932,False
AP0314,1,-0.1457438242879423,True,-0.6823593591301081,False
AP0314,2,-0.13000473820595104,True,-0.4266925310346018,False
AP0314,3,-0.14976462248836775,True,-0.7253101154953564,False
AP0315,0,-0.16747213224272706,True,-1.577159063689408,False
AP0315,1,-0.13630576403009975,True,-0.5183099290995992,False
AP0315,2,-0.15335208753686302,True,-0.8304338665490641,False
AP0315,3,-0.18233169883149536,True,-1.2901906070735083,False
AP0316,0,-0.12573936072156222,True,-0.7067051326788513,False
AP0316,1,-0.0980488401096693,True,0.1466600321434539,False
AP0316,2,-0.0999019377187409,True,0.093869555015142,False
AP0316,3,-0.09145046544087343,True,0.2861570899698141,False
AP0317,0,-0.12257788398959057,True,-0.6407636735129416,False
AP0317,1,-0.11553885126219576,True,-0.1573459057731884,False
AP0317,2,-0.12261855447369818,True,-0.2989646402942751,False
AP0318,0,-0.10727670287427493,True,-0.3216146506838142,False
AP0318,1,-0.10372483593005022,True,0.04800163690643395,False
AP0318,2,-0.09897384060522185,True,0.10991896442724934,False
AP0318,3,-0.10841272128146251,True,-0.008055608663426405,False
