combo,sn_forma,feo_forma,estado_id,orden,q_avance,C_hist,C_p5,C_p95,C_opt,interior,J_hist_aprox,J_opt
F2+G0,F2,G0,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-324.34012603009745,-296.6521198649899
F2+G1,F2,G1,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-324.3401272105084,-296.6521198587757
F2+G2,F2,G2,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-324.34012621185735,-296.65211873231806
F3+G0,F3,G0,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-331.7046508325839,-280.3127227989909
F3+G1,F3,G1,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-331.70465201299487,-280.31272279277664
F3+G2,F3,G2,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-331.7046510143439,-280.312721666319
F4+G0,F4,G0,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-322.3798747203661,-296.9419987471248
F4+G1,F4,G1,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-322.37987590077705,-296.94199874091055
F4+G2,F4,G2,9,3,0.25,5.086848290761312,3.90812579122755,14.422825675237743,14.422825675237743,False,-322.37987490212606,-296.94199761445293
F0+G0,F0,G0,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-99.0913868128777,-97.78868136694494
F0+G1,F0,G1,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-99.09138648191654,-97.78868020976951
F0+G2,F0,G2,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-99.09138714498489,-97.78868087283787
F2+G0,F2,G0,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.80403646247667,-75.74410759011984
F2+G1,F2,G1,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.8040361315155,-75.7441064329444
F2+G2,F2,G2,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.80403679458387,-75.74410709601277
F3+G0,F3,G0,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.4918643981673,-63.08961661906736
F3+G1,F3,G1,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.49186406720614,-63.089615461891924
F3+G2,F3,G2,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-89.49186473027449,-63.08961612496029
F4+G0,F4,G0,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-84.26312502475353,-71.6850168150606
F4+G1,F4,G1,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-84.26312469379236,-71.68501565788519
F4+G2,F4,G2,10,3,0.5,8.534606317016516,3.90812579122755,14.422825675237743,14.422825675237743,False,-84.26312535686073,-71.68501632095354
F0+G0,F0,G0,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-143.214614358173,-142.5466041388364
F0+G1,F0,G1,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-143.21461470501671,-142.54660324720365
F0+G2,F0,G2,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-143.21461430134931,-142.546602767581
F2+G0,F2,G0,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.33480264474602,-131.14157626415783
F2+G1,F2,G1,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.33480299158973,-131.14157537252507
F2+G2,F2,G2,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.33480258792233,-131.1415748929024
F3+G0,F3,G0,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.11970122771598,-107.44196923561263
F3+G1,F3,G1,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.11970157455968,-107.44196834397987
F3+G2,F3,G2,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-159.11970117089228,-107.44196786435721
F4+G0,F4,G0,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-156.22214766347037,-131.42090964816705
F4+G1,F4,G1,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-156.2221480103141,-131.42090875653432
F4+G2,F4,G2,11,3,0.75,4.956049548255073,3.90812579122755,14.422825675237743,14.422825675237743,False,-156.22214760664667,-131.42090827691166
