combo,estado_id,orden,q_avance,C,J
F0+G1,7,2,0.5,12.555008210215956,-88.87661429251536
F0+G1,7,2,0.5,12.905142771216681,-88.85267009855275
F0+G1,7,2,0.5,13.255277332217409,-88.82872590459013
F0+G1,7,2,0.5,13.605411893218136,-88.80478174571566
F0+G1,7,2,0.5,13.955546454218862,-88.78083764521084
F0+G1,7,2,0.5,14.305681015219587,-88.756893544706
F0+G1,7,2,0.5,14.655815576220313,-88.7329494442011
F0+G1,7,2,0.5,15.005950137221038,-88.70900534369625
F0+G1,7,2,0.5,15.356084698221764,-88.68506124319143
F0+G1,7,2,0.5,15.70621925922249,-88.66111714268659
F0+G1,7,2,0.5,16.05635382022322,-88.63717304218176
F0+G1,7,2,0.5,16.406488381223944,-88.61322894167694
F0+G1,7,2,0.5,16.75662294222467,-88.58928484117209
F0+G1,7,2,0.5,17.106757503225396,-88.56534074066725
F0+G1,7,2,0.5,17.45689206422612,-88.54139664016243
F0+G1,7,2,0.5,17.807026625226847,-88.5174525396576
F0+G1,7,2,0.5,18.157161186227572,-88.49350843915268
F0+G1,7,2,0.5,18.507295747228298,-88.46956433864784
F0+G1,7,2,0.5,18.857430308229027,-88.44562023814301
F0+G1,7,2,0.5,19.207564869229753,-88.42167613763814
F0+G2,7,2,0.5,5.552316990201436,-89.35550036626242
F0+G2,7,2,0.5,5.902451551202162,-89.33155617229981
F0+G2,7,2,0.5,6.252586112202888,-89.3076119783372
F0+G2,7,2,0.5,6.602720673203613,-89.28366778437459
F0+G2,7,2,0.5,6.95285523420434,-89.25972359041198
F0+G2,7,2,0.5,7.302989795205066,-89.23577939644937
F0+G2,7,2,0.5,7.653124356205792,-89.21183520248672
F0+G2,7,2,0.5,8.003258917206518,-89.1878910085241
F0+G2,7,2,0.5,8.353393478207245,-89.16394681456148
F0+G2,7,2,0.5,8.70352803920797,-89.14000262059888
F0+G2,7,2,0.5,9.053662600208696,-89.11605842663627
F0+G2,7,2,0.5,9.403797161209422,-89.09211423267367
F0+G2,7,2,0.5,9.753931722210147,-89.06817003871106
F0+G2,7,2,0.5,10.104066283210873,-89.04422584474844
F0+G2,7,2,0.5,10.4542008442116,-89.02028165078583
F0+G2,7,2,0.5,10.804335405212328,-88.99633745682323
F0+G2,7,2,0.5,11.154469966213053,-88.97239326286062
F0+G2,7,2,0.5,11.504604527213779,-88.94844906889799
F0+G2,7,2,0.5,11.854739088214505,-88.92450487493538
F0+G2,7,2,0.5,12.20487364921523,-88.90056068097277
F0+G2,7,2,0.5,12.555008210215956,-88.87661648701017
F0+G2,7,2,0.5,12.905142771216681,-88.85267229304756
F0+G2,7,2,0.5,13.255277332217409,-88.82872809908494
F0+G2,7,2,0.5,13.605411893218136,-88.80478390512229
F0+G2,7,2,0.5,13.955546454218862,-88.78083971115977
F0+G2,7,2,0.5,14.305681015219587,-88.75689551719724
F0+G2,7,2,0.5,14.655815576220313,-88.7329513232348
F0+G2,7,2,0.5,15.005950137221038,-88.70900712927218
F0+G2,7,2,0.5,15.356084698221764,-88.68506293530973
F0+G2,7,2,0.5,15.70621925922249,-88.66111874134721
F0+G2,7,2,0.5,16.05635382022322,-88.63717454738467
F0+G2,7,2,0.5,16.406488381223944,-88.61323035342215
F0+G2,7,2,0.5,16.75662294222467,-88.58928615945962
F0+G2,7,2,0.5,17.106757503225396,-88.5653419654971
F0+G2,7,2,0.5,17.45689206422612,-88.54139777153456
F0+G2,7,2,0.5,17.807026625226847,-88.51745357757213
F0+G2,7,2,0.5,18.157161186227572,-88.4935093836095
F0+G2,7,2,0.5,18.507295747228298,-88.46956518964706
F0+G2,7,2,0.5,18.857430308229027,-88.44562099568454
F0+G2,7,2,0.5,19.207564869229753,-88.42167680172197
F2+G0,7,2,0.5,5.552316990201436,-116.46278278868328
F2+G0,7,2,0.5,5.902451551202162,-115.42632949187194
F2+G0,7,2,0.5,6.252586112202888,-114.39655773394597
F2+G0,7,2,0.5,6.602720673203613,-113.37340343103764
F2+G0,7,2,0.5,6.95285523420434,-112.356803416841
F2+G0,7,2,0.5,7.302989795205066,-111.34669542517794
F2+G0,7,2,0.5,7.653124356205792,-110.34301807297629
F2+G0,7,2,0.5,8.003258917206518,-109.34571084364893
F2+G0,7,2,0.5,8.353393478207245,-108.35471407086138
F2+G0,7,2,0.5,8.70352803920797,-107.36996892267818
F2+G0,7,2,0.5,9.053662600208696,-106.39141738607694
F2+G0,7,2,0.5,9.403797161209422,-105.41900225181986
