Batch,orden,lnirf_R,sdi
AP0078,3,,
AP0079,0,,
AP0079,1,,
AP0079,2,,
AP0079,3,,
AP0079,4,,
AP0079,5,,
AP0079,6,,
AP0079,0,-1.46998332689873,0.4881472719651545
AP0079,1,-1.409933485628,0.6701508206958239
AP0079,2,-1.4397724897665387,0.20350163449192232
AP0079,3,-1.4801265865331728,-0.0752175967142448
AP0080,0,,
AP0080,1,,
AP0080,2,,
AP0080,3,,
AP0080,4,,
AP0080,5,,
AP0080,6,,
AP0080,0,-1.4868678036267353,-1.0374631154710645
AP0080,1,-1.4636296781176035,1.3900120600462653
AP0080,2,-1.579465965895047,-0.3801677958277383
AP0080,3,-1.6183636475933714,-0.08740287263187385
AP0081,0,,
AP0081,1,,
AP0081,2,,
AP0081,3,,
AP0081,4,,
AP0081,5,,
AP0081,6,,
AP0081,0,-1.445114827422446,-0.5301315010717191
AP0081,1,-1.5029188136908291,0.9445158375304963
AP0081,2,-1.553616464075976,-0.16943663146195587
AP0081,3,-1.6031464678833631,-0.03779015611398123
AP0082,0,,
AP0082,1,,
AP0082,2,,
AP0082,3,,
AP0082,4,,
AP0082,5,,
AP0082,6,,
AP0082,0,-1.4782998174103659,0.16233011341969772
AP0082,1,-1.4976361632811643,0.5714730409452483
AP0082,2,-1.5584340152162561,-0.643601218646772
AP0082,3,-1.6629281340057782,-0.21968111846344418
AP0083,0,,
AP0083,1,,
AP0083,2,,
AP0083,3,,
AP0083,4,,
AP0083,5,,
AP0083,6,,
AP0083,0,-1.3936111290106892,-0.136736287598492
AP0083,1,-1.4880613451835836,1.505568932138863
AP0083,2,-1.7215536040545718,-0.8058646307000003
AP0083,3,-1.6704141566765183,0.7928262343970154
AP0084,0,,
AP0084,1,,
AP0084,2,,
AP0084,3,,
AP0084,4,,
AP0084,5,,
AP0084,6,,
AP0084,0,-1.5106187341253816,1.4881037473828997
AP0084,1,-1.612431340520806,-0.28651939618342714
AP0084,2,-1.7078890852867037,-0.3052710376400586
AP0084,3,,
AP0085,0,,
AP0085,1,,
AP0085,2,,
AP0085,3,,
AP0085,4,,
AP0085,5,,
AP0085,6,,
AP0085,0,-1.403536752159223,1.512711398369421
AP0085,1,-1.4386993916693875,0.14176125313470744
AP0085,2,-1.4791483789862971,-0.07481419347189033
AP0085,3,-1.5397310152478891,-0.14470285957336604
AP0086,0,,
AP0086,1,,
AP0086,2,,
AP0086,3,,
AP0086,4,,
AP0086,5,,
AP0086,6,,
AP0086,0,-1.3396940551883878,-0.005486441256123742
AP0086,1,-1.500680467047923,0.027102908262463643
AP0086,2,-1.5881764917845602,-0.17842888532792425
AP0086,3,,
AP0087,0,,
AP0087,1,,
AP0087,2,,
AP0087,3,,
AP0087,4,,
AP0087,5,,
AP0087,6,,
AP0087,0,-1.3649829156732398,1.4004134606791192
AP0087,1,-1.4172002957947905,-0.13227328091352342
AP0087,2,-1.4861699300456201,-0.2766786726304933
AP0087,3,,
AP0088,0,,
AP0088,1,,
AP0088,2,,
AP0088,3,,
AP0088,4,,
AP0088,5,,
AP0088,6,,
AP0088,0,-1.4215347942491332,1.0792187647194467
AP0088,1,-1.506263950311371,-0.03426776560270606
AP0088,2,-1.4441272084363617,-0.1891740958966348
AP0088,3,-1.4606240910994468,-0.17213083022691686
AP0089,0,,
AP0089,1,,
AP0089,2,,
AP0089,3,,
AP0089,4,,
AP0089,5,,
AP0089,6,,
