Batch,K0_proxy,K1_recuperacion_real,K2_recup_corr_escoria,K3_ventana3_centrada,K3_ventana5_centrada,K5_DP_desplazados_1,K5_DP_desplazados_2,K5_DP_desplazados_3,K6_solo_dross,K7_M_sobre_MD,K8_M_por_Sn_menos_D
AP0085,67.82113835722257,73.5825140544748,74.56194669121702,66.90028198992364,66.1679668284319,70.15364962700559,67.2117349589097,70.01278376299693,84.75120139536021,81.64342099881385,88.16941906928844
AP0086,69.10137046783555,75.06705164081117,76.05813268361537,66.78675123710285,66.7252451757292,66.1058463559501,68.9577357601968,71.53857525299824,94.44075120331449,92.55397443598852,79.89187505303407
AP0087,63.23555160938662,65.81414761441746,66.53707579864891,67.34231342568972,68.13867879720335,66.20548649983728,68.91198815077449,70.43408217922357,80.94937904996141,76.84833264509822,82.09063568942305
AP0088,69.49818852850008,76.90164396931094,79.6516220446991,67.92628956317593,68.80366262314134,72.05230579936683,73.47981766286398,72.8750537514981,86.68414940784554,83.92078114587052,90.1906525543082
AP0089,71.00337900884242,71.79328321460846,72.69465968936007,70.57527487153126,68.96227924918314,72.46399255587096,71.84493984562546,66.13664321429351,91.62007907894335,89.44372314018604,78.43958413264066
AP0090,71.35091344142262,69.83042645054556,71.03714435151149,70.7902652721534,69.17235950123315,70.71694918960029,64.89171366419161,72.07061188771763,87.91827013532004,85.51918123898605,79.1946096241343
AP0091,69.99098374086337,67.31092478646875,68.47097737352158,68.4165653614783,69.70094272235717,64.09465737149876,71.36461645738063,71.01301487758847,86.32731442513747,83.65755926474465,77.50173493646248
AP0092,64.26531004804194,67.13474349853955,67.57084627723825,68.71033288313603,69.59245962693618,71.51607161830786,71.16557831042508,61.71831287148542,85.54946028588661,81.64214734672042,79.07112569967462
AP0093,72.26241251796098,69.61262854170334,70.57553307026627,68.88335805803602,67.58931250429177,71.91749670195978,62.58707448087892,70.0917344790663,91.51359501302538,89.49036623792551,75.81028437162254
AP0094,70.57812258923136,69.74643177413016,70.87796504149544,67.98647566000133,67.19566791154723,61.043744421102524,68.70317647874944,63.2591684011209,88.34760885682311,85.82960191505589,78.8229582014494
AP0095,62.04554851238651,72.03736335197624,72.54041471622425,66.57747560846221,66.1580507694476,69.60608222598272,64.23737762035576,67.82713142353607,87.67379116921707,83.42622351397887,84.06860800777677
AP0096,67.9505495925716,65.00942946460091,65.63444552849072,62.75960838235375,64.32783542190164,62.447182802559,66.12186221921236,66.39694805218419,85.77824565852762,82.69276427628517,75.24778683693191
AP0097,58.327159013340165,63.26252553774238,64.97609600042631,63.11907830894546,63.944831318942896,62.16070707120523,62.44969112870785,65.22394065036384,88.75830491907857,83.84090807980019,72.04717554894239
AP0098,62.977905463743305,65.38080398350426,66.37907620258518,63.3592877896894,65.452954853159,63.264336795604706,66.01115679156605,62.59685514751002,83.16497687508657,78.90689713733161,79.22771464116093
AP0099,68.24650370012404,80.58131275892049,81.56061422524577,66.9416341558024,65.19292228211691,70.79277977406016,67.62321920591592,69.71956382402968,87.61961070084422,84.6448389134053,94.37741149937419
AP0100,69.27353245216207,65.67906342793385,66.67579046678995,68.00566754926732,67.32812810949257,66.01824318560956,68.1695922164067,69.95807862180611,85.68762822351036,82.87705097101333,75.99081188887428
AP0101,66.5706281446838,66.75876793296183,67.65997582420422,68.32894404413477,68.68614708724472,68.70358447467238,70.47506194471515,64.6139737646958,82.86951898649426,79.53374670205353,80.60598519817492
AP0102,69.21493902604699,67.84663352193634,68.59606603243552,68.65163476762484,67.64421232990432,70.96970243648173,65.15826203210955,69.95486287326317,88.7107445284639,85.9768108457069,76.28881388464934
AP0103,70.27804856385265,67.89673691771856,68.77159454493031,67.48832559727693,67.60649623883747,64.39760798895452,69.24950664431633,66.66389472759823,88.64440400290631,86.08956385793141,76.26346544946158
AP0104,63.119763101629005,63.69402157005183,64.69857172999555,67.41560147061567,67.83740441200153,68.05943251807436,65.42371770735446,66.08666964631323,80.35231091979055,76.26157558040586,79.445172801874
AP0105,69.0643554002944,69.54700039798004,70.47228856816245,66.60357622848596,67.67281090367611,66.47071311783402,67.12367818315175,70.60278947734899,87.23977121178905,84.40538511162579,79.80094416986746
AP0106,67.6954478007303,73.32948553261873,73.91861328721609,68.36283658634905,68.16827360227762,68.3359235295198,71.740758183398,75.46433303191142,87.82107351727156,84.75239826041356,84.47370700975726
AP0107,68.37984972223518,74.73721283681844,75.6976877155188,69.53671448991783,70.50626567189084,71.78191143157913,75.50191542515937,67.60814881836349,86.13050981007362,83.13726261543455,88.09086748061682
AP0108,72.60709805321838,76.83114004378601,78.33614065678417,71.95935546200472,70.1650665275539,76.25430366020083,68.5018317428102,64.05126455580583,91.49115477161679,89.51026779181504,84.4334073906272
AP0109,75.2440608247891,73.69685732994002,75.06587477357557,71.64625587824251,68.5881374862306,67.30318947569509,62.775292951484445,68.01093356809521,94.22785237368917,92.87531749922017,78.11293958786315
AP0110,67.51394069607987,66.58205534659737,67.32477121830794,67.30154443169604,68.99483905831681,62.999184378879406,68.21927705490738,72.77410433181522,86.54986125176217,83.38752340476118,76.76446949007507
AP0111,59.95947216997236,56.50046303848369,57.27041555686328,66.020156794878,69.56251628510346,65.37269610812734,70.15702603334417,60.196651314521056,82.43070477175168,77.33835346819723,67.71042337374848
AP0112,70.280035285811,69.39358842565466,69.99993027612751,68.58426898282711,67.52756157240499,74.64926733359744,65.44984824331517,68.20723747509096,85.90164041379822,83.29150535799297,80.6157301825741
AP0113,75.2067368896212,71.92181136326094,72.70104754345037,69.8836973049257,67.1013627032969,66.11779557398732,68.84725042339622,73.11299273281669,88.66315952293374,86.90042540183917,80.66751113011233
AP0114,64.61897281426242,66.57168761416126,67.32837305583553,68.28713103707146,69.2414854556226,67.40965377617489,71.79159177304366,63.26692369349939,84.2914613186973,80.44438525626431,79.4252635217534
AP0115,65.30617057079391,59.95015318809327,60.607163988220336,66.91631719919965,67.37253638285686,69.84441177167768,61.05055122450524,63.41720392074719,82.06688234467309,78.45594545857803,71.76423377377954
AP0116,71.17108673377778,67.14725879225685,67.95478104508919,65.7582627238312,65.41765540554276,62.556701437984515,64.88447660727545,68.60536837356403,86.36065732498311,83.91784740379758,77.06401831180533
AP0117,61.25568977870816,62.831044297952054,63.47512237472925,65.7357955321103,65.95813010796587,63.61730605028281,67.40501734370073,66.36195163523705,81.55996619067379,76.8619532151474,77.48717728390072
AP0118,65.27657038031192,68.64451032565773,69.41825685837344,64.5400676564897,66.60391584653917,68.97578074840828,67.95908698283233,68.43746286301398,84.40898132665087,80.72031223410971,82.10617599264145
AP0119,67.34192726605917,62.903528450651855,63.36343008478049,67.01555999350393,65.90844512149822,66.29785208013043,66.78890966611092,68.7348618811207,82.52632113356673,79.39803809320512,75.1733322266113
AP0120,68.49535442370555,70.40181745875893,70.92565600965217,67.78061126347588,67.72320632390556,68.96937959965754,70.84334465777113,71.99246026329996,85.04935692264627,82.0834509442302,83.18460552585199
AP0121,67.45212522669513,64.38597487413709,64.95884573979771,68.71031863352988,68.97078488311891,69.37703485124288,70.55992483316953,69.78761552604095,85.90142513365437,82.7118898424408,74.39827126230983
AP0122,70.19702705991743,67.78579603835547,68.31958398369933,69.66993971655069,69.67173861281958,71.361317828812,70.60127239865733,65.10979383692964,85.84382213440118,83.21797271591672,78.51932547808505
