Batch,idx_cronologico,es_lockbox,M_t,D_t,P_t,Sn_cargado_t,Sn_escoria_final_t,K0,K1,K2,K3,K3b,K4,K5_k1,K5_k2,K5_k3,K6,K7
AP0278,278,False,35.78568,6.392,8.690245648,51.49588753831809,1.6611455613737585,70.35018539508107,69.49230649412902,71.8086992736031,71.18036174240702,72.9679891645169,69.73698214790261,75.87280806994022,71.79494058180292,69.1949363092056,87.43412490567852,0.8484506497275336
AP0279,279,False,35.460319999999996,4.2268799999999995,7.152795956,52.606507890587494,0.5634487663121777,75.7052157590071,67.40671719505004,68.13650195950846,72.9679891645169,72.92894498879383,71.39604350587386,71.60962159941681,68.99991047363811,72.82066165029225,90.97591723967996,0.8934951319317059
AP0280,280,False,38.1318,5.57328,8.485332244,50.47345154204504,0.48672618860460154,73.06284499483672,75.54823146627037,76.28385282368872,72.92894498879383,72.0728753694743,72.39966167641116,70.53174623843314,74.23419979401729,77.8915071058816,89.32125698884334,0.872479812415399
AP0281,281,False,37.857400000000005,6.489920000000001,9.441594796,51.37881160212995,0.7073856879270806,70.38141621480578,73.68290316475634,74.7115347890552,72.0728753694743,73.56134037569748,73.85861062104622,74.09582064025074,77.76688726925588,71.26859783535662,87.93446563364648,0.8536569966347459
AP0282,282,False,35.5642,4.2908,8.944290336000002,51.10441675999947,0.6174682338868313,72.87851883731952,69.591245247978,70.44236389451353,73.56134037569748,73.58345428536924,72.80094106067673,76.66777509227217,69.9722792983653,64.00258056492906,91.20724918240337,0.8923397315267847
AP0283,283,False,37.84368,4.14256,6.680656300000001,49.290941437576635,0.6107584234932698,77.76061938841988,76.77613552568528,77.73939549292919,73.58345428536924,70.25976495943874,70.78134805504875,71.26117498765562,65.42108779627418,71.6385015047955,91.4879305751002,0.9013352946108059
AP0284,284,False,36.118880000000004,6.40152,8.860407656000001,52.22231603196757,0.9971508162121978,70.29644267528795,69.16368852329347,70.51003124708495,70.25976495943874,67.97452664250376,70.78771762585949,64.35836307093196,70.68122432611062,72.62857956943859,87.5410288548618,0.8494482648328803
AP0285,285,False,34.9174,5.91872,14.083901972000001,50.80394885484259,0.6980589176089851,63.57863443281581,68.72969677960714,69.68721650037581,67.97452664250376,68.49325620079183,70.63121587835641,69.975288575159,71.95092500950248,56.128340948544846,89.22301960655159,0.8550616464051922
AP0286,286,False,35.6132,5.641279999999999,9.34093558,51.52886550317553,0.45068944926667914,70.38819543578892,69.11310709490643,69.72292816879985,68.49325620079183,66.25227923187741,66.47646157566486,72.3473991739511,56.613605196549315,72.51921887118742,88.85021511271081,0.8632565481373174
AP0287,287,False,35.11536,5.02248,8.589586432,50.7670009351689,0.6599358852300272,72.06487715702391,69.16965618048513,70.08065622083933,66.25227923187741,66.77709586378796,66.80326226103504,56.2675033849941,72.23777867883612,69.0909000834362,89.69270415500198,0.8748692007342697
AP0288,288,False,38.98636,7.878480000000001,19.414047124,50.531278871563565,0.6337926767750495,58.82168770737069,77.15292561483051,78.13291404662363,66.77709586378796,65.87971341096716,67.8785185765786,74.28548978512659,71.27843501522403,69.35318103896951,88.1131377700107,0.8318893225710361
AP0289,289,False,35.2408,6.057439999999999,7.4379970680000005,50.762508487650805,0.26132355016209874,72.30923460674595,69.4228891556318,69.78212500087217,65.87971341096716,69.25633106063265,67.17113128996307,69.16699849206161,67.1654090061996,72.94692302849508,87.5709731312488,0.8533245000271198
AP0290,290,False,34.8586,7.122319999999999,8.587189784000001,49.732987360292356,0.8562763697507918,68.93395887031836,70.09150636269979,71.31944701996358,69.25633106063265,69.22394976558675,67.18585153981564,66.92447542916989,72.73118927531522,70.08027173726228,85.91539207136128,0.8303438800293085
AP0291,291,False,34.49992,5.641279999999999,11.586594756000002,49.572106512867315,0.5920219432904708,66.69513007994273,69.59542861275209,70.43662807685115,69.22394976558675,69.85709546158525,70.1493504269415,72.52557821605595,69.8629547540769,64.5459136070574,89.09429635148778,0.859464091756101
AP0292,292,False,34.1236,6.51576,6.553633956000001,50.06383906644071,0.44758305914061836,72.30649539169916,68.16017436200588,68.77504017026065,69.85709546158525,69.33501320859808,68.72056253126865,69.63153039580028,64.29452663933978,62.22448426316936,86.19337436807905,0.8396687349407077
AP0293,293,False,36.08164,8.04712,6.835240096,50.26233829632296,0.5083012400735487,70.79828885494398,71.78663234344516,72.52002477549293,69.33501320859808,65.86439641393426,67.20558952686952,65.56493015954068,63.52675831520224,65.24653844595109,84.2101876131352,0.8176445474561261
