regimen,tendencia,palanca,outcome,n,cov_iv,b_ols,t_ols,b_iv,se_iv,t_iv,ci_lo,ci_hi,t_dwh,p_dwh
TOTAL,cubica,carbon,sn_perdido_escoria_frac,361,HAC,-0.0001888646908012624,-0.006514852645723297,0.08735197414012735,0.14258051297798255,0.6126501603596863,-0.19210583129671843,0.36680977957697314,-0.5447538962412867,0.5859227912269982
TOTAL,bloque40,gn,recuperacion_refinada_pct,361,HC1,-0.3509436567303721,-2.2874195868326788,1.771263106264655,1.7531090717882942,1.0103553365666191,-1.6648306744404016,5.207356886969712,-1.4636093454122499,0.14330071763882374
TOTAL,bloque40,gn,recuperacion_refinada_pct,361,HAC,-0.3509436567303721,-2.2874195868326788,1.771263106264655,1.9157739576679809,0.924567900704092,-1.9836538507645871,5.526180063293897,-1.4636093454122499,0.14330071763882374
TOTAL,bloque40,gn,f_dross,361,HC1,0.4207706826038885,3.726890133676506,-0.18406339169521857,1.1012374164750718,-0.16714233365261352,-2.342488727986359,1.974361944595922,0.5407148742142127,0.5887041246229658
TOTAL,bloque40,gn,f_dross,361,HAC,0.4207706826038885,3.726890133676506,-0.18406339169521857,1.089165651142678,-0.16899485537586673,-2.3188280679348674,1.9507012845444303,0.5407148742142127,0.5887041246229658
TOTAL,bloque40,gn,f_polvo,361,HC1,-0.044798692189660344,-0.47304743192028326,-1.5843980322532047,1.2761804815054953,-1.2415156439190393,-4.085711776003976,0.9169157114975661,1.512490571647457,0.1304091093769187
TOTAL,bloque40,gn,f_polvo,361,HAC,-0.044798692189660344,-0.47304743192028326,-1.5843980322532047,1.417568182694222,-1.117687354721737,-4.36283167033388,1.1940356058274704,1.512490571647457,0.1304091093769187
TOTAL,bloque40,gn,f_metal,361,HC1,-0.37597199041421436,-2.5292781138821017,1.7684614240777137,1.806046938902771,0.9791890708843417,-1.7713905761717172,5.308313424327144,-1.4297477306518473,0.15278943573274817
TOTAL,bloque40,gn,f_metal,361,HAC,-0.37597199041421436,-2.5292781138821017,1.7684614240777137,1.9837726951167107,0.89146373898128,-2.119733058351039,5.656655906506467,-1.4297477306518473,0.15278943573274817
TOTAL,bloque40,gn,sn_perdido_escoria_frac,361,HC1,-0.02988569011977109,-0.8335592535822373,-0.03829111877688618,0.22085085741252683,-0.17337998695364937,-0.47115879930543875,0.3945765617516664,0.0349655002998981,0.9721072508141614
TOTAL,bloque40,gn,sn_perdido_escoria_frac,361,HAC,-0.02988569011977109,-0.8335592535822373,-0.03829111877688618,0.1845204699270959,-0.2075169155596396,-0.3999512398339941,0.32336900228022175,0.0349655002998981,0.9721072508141614
TOTAL,bloque40,carbon,recuperacion_refinada_pct,361,HC1,0.2252658042390364,0.9818737063119682,1.619326742700423,0.8417125359473744,1.923847719432881,-0.030429827756430772,3.2690833131572767,-1.8715419384692749,0.06127000256380109
TOTAL,bloque40,carbon,recuperacion_refinada_pct,361,HAC,0.2252658042390364,0.9818737063119682,1.619326742700423,0.7549949783828366,2.144817898218269,0.1395365850700634,3.099116900330783,-1.8715419384692749,0.06127000256380109
TOTAL,bloque40,carbon,f_dross,361,HC1,-0.18328613513986064,-1.0780140030985097,-0.6295476398871429,0.6260760261600312,-1.0055450353983437,-1.856656651160804,0.5975613713865182,0.6952252982321893,0.486914120546324
TOTAL,bloque40,carbon,f_dross,361,HAC,-0.18328613513986064,-1.0780140030985097,-0.6295476398871429,0.6591963392920979,-0.955022961085017,-1.9215724648996546,0.6624771851253688,0.6952252982321893,0.486914120546324
TOTAL,bloque40,carbon,f_polvo,361,HC1,-0.036789076984152264,-0.34064494044791804,-1.1519028974529562,0.5983790680849549,-1.9250387570198473,-2.324725870899468,0.020920075993555498,2.370402248315826,0.01776874185454234
TOTAL,bloque40,carbon,f_polvo,361,HAC,-0.036789076984152264,-0.34064494044791804,-1.1519028974529562,0.526649060750031,-2.187230517059055,-2.184135056523017,-0.11967073838289544,2.370402248315826,0.01776874185454234
TOTAL,bloque40,carbon,f_metal,361,HC1,0.22007521212402215,0.959098387809593,1.7814505373519296,0.8836526377922901,2.0160077174699436,0.04949136727904113,3.513409707424818,-2.0538554582416104,0.03998968345550743
